"Scus94491BpeSegment::scriptSetIndicatorsDisabled","Forces disabling/enabling of indicators during scripted movement (not during normal play)"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Battle::FUN_800e6fb4","Unknown, can allocate a DEFF and effect manager child for a battle entity"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Battle::scriptResetLights","Resets battle lighting"
"Battle::scriptSetLightDirection","Sets the battle light direction"
"Battle::scriptGetLightDirection","Gets the battle light direction"
"Battle::FUN_800e48a8","Unknown, sets the battle light direction using the vector (0, 0, 1) rotated by ZYX"
"Battle::FUN_800e48e8","Unknown, gets the battle light direction using the vector (0, 0, 1) rotated by ZYX"
"Battle::FUN_800e4964","Unknown, sets the battle light direction"
"Battle::FUN_800e4abc","Unknown, gets the battle light direction"
"Battle::scriptSetBattleLightColour","Sets the battle light colour"
"Battle::scriptGetBattleLightColour","Sets the battle light colour"
"Battle::scriptSetBattleBackgroundLightColour","Sets the battle light background colour"
"Battle::scriptGetBattleBackgroundLightColour","Sets the battle light background colour"
"Battle::FUN_800e4dfc","Unknown, related to battle lights"
"Battle::FUN_800e4e2c","Unknown, related to battle lights"
"Battle::FUN_800e4e64","Unknown, related to battle lights"
"Battle::FUN_800e4ea0","Unknown, must change battle light over time"
"Battle::FUN_800e4fa0","Unknown, must change battle light over time"
"Battle::FUN_800e50e8","Unknown, must change battle light over time"
"Battle::FUN_800e52f8","Unknown, related to battle lights"
"Battle::FUN_800e540c","Unknown, related to battle lights"
"Battle::FUN_800e54f8","Unknown, related to battle lights"
"Battle::FUN_800e5528","Unknown, related to battle lights"
"Battle::FUN_800e5560","Unknown, related to battle lights"
"Battle::FUN_800e559c","Unknown, related to battle lights"
"Battle::FUN_800e569c","Unknown, related to battle lights"
"Battle::scriptApplyStageAmbiance","Applies the current battle stage's ambiance (including Dragoon Space)"
"Battle::FUN_800e59d8","Unknown, sets or applies stage ambiance"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Battle::scriptCheckPhysicalHit","Checks if a battle entity's physical attack hits another battle entity"
"Battle::scriptPhysicalAttack","Perform a battle entity's physical attack against another battle entity"
"Battle::scriptGetBentPos2","Gets a battle entity's position"
"Battle::scriptAddFloatingNumber","Adds a floating number"
"Battle::scriptCheckPhysicalHit","Checks if a battle entity's physical attack hits another battle entity"
"Battle::scriptCheckPhysicalHit","Checks if a battle entity's physical attack hits another battle entity"
"Battle::scriptCheckPhysicalHit","Checks if a battle entity's physical attack hits another battle entity"
"Battle::scriptGiveSp","Gives SP to a battle entity"
"Battle::scriptConsumeSp","Consumes SP from a battle entity"
"Battle::scriptInitSpellAndItemMenu","Initialized the battle menu for a battle entity"
"Battle::FUN_800f4600","Unknown, this might handle players selecting an attack target"
"Battle::scriptGetItemOrSpellAttackTarget","Gets the item/spell attack target"
"Battle::scriptDragoonMagicStatusItemAttack","Perform a battle entity's magic or status attack against another battle entity"
"Battle::scriptSetTempSpellStats","Caches selected spell's stats on a battle entity"
"Battle::scriptRenderRecover","Render recovery amount for a battle entity"
"Battle::scriptItemMagicAttack","Perform a battle entity's item attack against another battle entity"
"Battle::scriptSetTempItemMagicStats","Caches selected spell's stats on a battle entity"
"Battle::scriptTakeItem","Takes a specific (or random) item from the player"
"Battle::scriptGiveItem","Gives a specific item to the player"
"Battle::FUN_800f9a50","Unknown, related to targeting"
"Battle::scriptIsFloatingNumberOnScreen","Checks if any floating number is on the screen"
"Battle::scriptSetDragoonSpaceElementIndex","Sets the active dragoon space element"
"Battle::FUN_800f9b94","Unknown, related to menu"
"Battle::FUN_800f9bd4","Unknown, related to menu"
"Battle::FUN_800f9c00","Unknown, related to menu"
"Battle::scriptRenderBattleHudBackground","Renders the battle HUD background"
"Battle::scriptSetDisabledMenuIcons","Unknown, disables menu icons if certain flags are set"
"Battle::scriptCheckSpellOrStatusHit","Checks if a battle entity's spell or status attack hits another battle entity"
"Battle::scriptCheckItemHit","Checks if a battle entity's item magic attack hits another battle entity"
"Battle::scriptFinishBentTurn","Called after any battle entity finishes its turn, ticks temporary stats and calls turnFinished on custom battle entities"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Battle::scriptSetBentZOffset","Sets a battle entity's Z offset"
"Battle::scriptSetBentScaleUniform","Sets a battle entity's scale uniformly"
"Battle::scriptSetBentScale","Sets a battle entity's scale"
"Battle::FUN_800ee384","Unknown, sets shadow type to 2"
"Battle::scriptDisableBentShadow","Disables a battle entity's shadow"
"Battle::scriptSetBentShadowSize","Sets a battle entity's shadow size"
"Battle::scriptSetBentShadowOffset","Sets a battle entity's shadow offset"
"Battle::scriptApplyScreenDarkening","Darkens the combat stage (for things like counter-attacks, certain dragoon transformations, etc.)"
"Battle::FUN_800ee384","Unknown, sets shadow type to 2"
"Battle::scriptGetStageNobj","Gets the number of model parts in the battle stage's model"
"Battle::scriptShowStageModelPart","Shows the battle stage's model part"
"Battle::scriptHideStageModelPart","Hides the battle stage's model part"
"Battle::FUN_800ee3c0","Unknown, sets shadow type to 3, used when player combat script is initialized, second param is based on char ID"
"Battle::FUN_800ee408","Unknown, sets shadow type"
"Battle::scriptSetStageZ","Sets the battle stage model's Z offset"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"SEffe::scriptGetRelativePosition","Calculates the relative offset from one battle object to its parent (or just returns the first object's position if the parent is -1)"
"SEffe::scriptSetRelativePosition","Translates a battle object relative to its parent, if one is specified"
"SEffe::scriptGetRotationDifference","Calculates the relative rotation between two battle objects (or just returns the first object's rotation if the second is -1)"
"SEffe::scriptSetRelativeRotation","Sets the relative rotation between two battle objects (or from the origin if the second is -1)"
"SEffe::scriptGetScaleRatio","Calculates the scale ratio between two battle objects (or just returns the first object's rotation if the second is -1)"
"SEffe::scriptSetRelativeScale","Sets the relative scale between two battle objects (or from the origin if the second is -1)"
"SEffe::scriptGetColourDifference","Calculates the relative colour between two battle objects (or just returns the first object's colour if the second is -1)"
"SEffe::scriptSetRelativeColour","Sets the relative colour between two battle objects (or just sets the colour if the second is -1)"
"SEffe::scriptGetGenericEffectValue","Gets one of the generic values of an EffectManager6c"
"SEffe::scriptSetGenericEffectValue","Sets one of the generic values of an EffectManager6c"
"SEffe::scriptTransformBobjPositionToScreenSpace","Transforms a battle object's position from world space to screen space"
"SEffe::scriptRemoveEffectAttachment","Removes an attachment from an effect"
"SEffe::scriptHasEffectAttachment","Checks if an effect has a specific attachment"
"SEffe::scriptWaitForPositionScalerToFinish","If an effect has a position scaler, pause and rewind; otherwise, continue"
"SEffe::scriptAddPositionScalerAttachment","Adds a position scaler attachment to an effect (relative to a battle object if specified)"
"SEffe::scriptAddRelativePositionScalerTicks0","(Note: uses movement mode 0, meaning not fully understood) Adds a position scaler to an effect (relative to a parent, if provided)"
"SEffe::scriptAddRelativePositionScalerDistance0","(Note: uses movement mode 0, meaning not fully understood) Adds a position scaler to an effect (relative to a parent, if provided)"
"SEffe::scriptAddPositionScalerMoveToParent","Adds a position scaler to an effect to move it to its parent battle object"
"SEffe::FUN_801155f8","No-op"
"SEffe::scriptGetRelativeAngleBetweenBobjs","(Note: uses movement mode 0, meaning not fully understood) Adds a position scaler to an effect (relative to a parent, if provided)"
"SEffe::scriptRotateBobjTowardsPoint","Rotates a battle object towards a point (relative to a parent, if provided)"
"SEffe::FUN_80115440","Clears an effect manager's flag 0x400_0000 and then sets or unsets flag 0x400_0000 (bit 28)"
"SEffe::scriptGetEffectTranslationRelativeToParent","Calculates the relative offset from one effect to its parent (or just returns the first effect's position if the parent is -1)"
"SEffe::scriptAddRotationScalerAttachment","Adds a rotation scaler attachment to an effect"
"SEffe::scriptAddRotationScalerAttachmentTicks","Adds a rotation scaler attachment to an effect (relative to a parent battle object if one is specified)"
"SEffe::scriptAddRotationScalerAttachmentDistance","Adds a rotation scaler attachment to an effect (relative to a parent battle object if one is specified)"
"SEffe::scriptAddRotationScalerAttachmentTowardsPointTicks","Adds a rotation scaler attachment towards a point to an effect (relative to a parent battle object if one is specified)"
"SEffe::scriptAddRotationScalerAttachmentTowardsPointDistance","Adds a rotation scaler attachment towards a point to an effect (relative to a parent battle object if one is specified)"
"SEffe::FUN_80115600","No-op"
"Battle::FUN_800e9f68","Allocates an effect manager for an unknown purpose"
"SEffe::scriptLoadEffectModelAnimation","Loads a new animation into an effect"
"SEffe::scriptAddScaleScalerAttachment","Adds a scale scaler attachment towards a point to an effect (relative to a parent battle object if one is specified)"
"SEffe::scriptAddScaleScalerMultiplicativeAttachmentTicks","Adds a multiplicative scale scaler attachment to an effect (relative to a parent battle object if one is specified)"
"SEffe::scriptAddScaleScalerMultiplicativeAttachmentDistance","Adds a multiplicative scale scaler attachment to an effect (relative to a parent battle object if one is specified)"
"SEffe::scriptSetScriptScript","Replaces an existing script state's script"
"SEffe::scriptAddScaleScalerDifferenceAttachmentTicks","Adds a difference scale scaler attachment to an effect (relative to a parent battle object if one is specified)"
"SEffe::scriptAddColourScalerAttachment","Adds a colour scaler attachment to an effect (lasts until removed)"
"SEffe::scriptAddConstantColourScalerAttachment","Adds a colour scaler attachment to an effect (relative to a parent if one is specified)"
"SEffe::scriptAddConstantColourScalerDistance","Adds a colour scaler attachment to an effect (relative to a parent if one is specified)"
"SEffe::scriptRemoveGenericEffectAttachment","Removes a generic attachment from an effect"
"SEffe::FUN_80114f34","No-op"
"SEffe::scriptAddGenericAttachment","Adds a generic attachment to an effect"
"SEffe::scriptAddGenericAttachmentTicks","Adds a generic attachment to an effect that increments at a fixed rate"
"SEffe::scriptAddGenericAttachmentSpeed","Adds a generic attachment to an effect that increments at a fixed rate"
"SEffe::scriptAddLifespanAttachment","Adds a lifespan attachment to an effect that deallocates the effect after a certain number of ticks"
"SEffe::FUN_80115324","Clears an effect manager's flag 0x8000_0000 and then sets or unsets flag 0x8000_0000 (bit 31)"
"SEffe::FUN_80115388","Clears an effect manager's flag 0x4000_0000 and then sets or unsets flag 0x4000_0000 (bit 30)"
"SEffe::FUN_801153e4","Clears an effect manager's flags 0x3000_0000 and then sets or unsets flag 0x1000_0000 (bit 28)"
"Battle::FUN_800e74ac","Returns two unknown values"
"SEffe::scriptGetPositionScalerAttachmentVelocity","Gets the position scaler attachment velocity"
"Battle::scriptAddOrUpdateTextureAnimationAttachment","Adds or updates a texture animation attachment to an effect"
"SEffe::FUN_8011549c","Clears an effect manager's flag 0x40 and then sets or unsets flag 0x40 (bit 6)"
"SEffe::scriptAddRelativePositionScalerDistance1","(Note: uses movement mode 1, meaning not fully understood) Adds a position scaler to an effect (relative to a parent, if provided)"
"SEffe::scriptAddRelativePositionScalerTicks1","(Note: uses movement mode 1, meaning not fully understood) Adds a position scaler to an effect (relative to a parent, if provided)"
"SEffe::scriptAddOrUpdatePositionScalerAttachment","Adds or updates a position scaler attachment to an effect (relative to a battle object if specified)"
"SEffe::scriptUpdateParabolicPositionScalerAttachment","Updates a position scaler attachment for parabolic arcs"
"Battle::scriptAllocateEmptyEffectManagerChild","Allocates an empty effect manager"
"Battle::allocateBillboardSpriteEffect","Allocates a new billboard sprite effect manager"
"Battle::FUN_800e9854","Allocates an unknown model effect (used in Miranda transformation)"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"SEffe::scriptAllocateLmbAnimation","Allocates an LMB animation"
"SEffe::allocateDeffTmd","Allocates a DEFF TMD effect manager"
"Battle::FUN_800e99bc","Allocates an unknown model effect manager (used in Miranda transformation)"
"SEffe::FUN_801181a8","Unknown, something to do with LMB animation"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Battle::scriptLoadCmbAnimation","Loads a CMB animation"
"SEffe::FUN_801156f8","Unknown, possibly something to do with effect manager parents"
"Battle::scriptHideEffectModelPart","Hides an effect's model part"
"Battle::scriptShowEffectModelPart","Shows an effect's model part"
"Battle::scriptAddRedEyeDragoonTransformationFlameArmorEffectAttachment","Attached the red eye dragoon transformation flame armour effect to an effect manager"
"Battle::scriptApplyTextureAnimationAttachment","Applies a texture animation attachment update"
"Battle::scriptRemoveTextureAnimationAttachment","Removes a texture animation attachment"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"SEffe::scriptLoadSameScriptAndJump","Loads this script into another script state and jumps to a script address"
"SEffe::allocateShirleyTransformWipeEffect","Allocates a new wipe effect (used by Shirley when she transforms)"
"SEffe::FUN_80111a58","Unknown, returns a position"
"Battle::scriptGetEffectLoopCount","Gets the number of times an effect's animation has looped"
"SEffe::allocateSpriteWithTrailEffect","Allocates a sprite with a trail effect"
"Battle::scriptLoadDeff","Allocates a DEFF and effect manager child"
"Battle::FUN_800e6db4","Unknown, related to loading DEFFs"
"Battle::scriptGetDeffLoadingStage","Gets the current DEFF loading stage"
"SEffe::scriptGetEffectZ","Gets an effect manager's Z value"
"SEffe::scriptSetEffectZ","Sets an effect manager's Z value"
"SEffe::allocateDeffTmdRenderer","Allocates a DEFF TMD renderer effect manager"
"SEffe::FUN_801157d0","Unknown"
"SEffe::scriptGetEffectRotation","Gets an effect's rotation"
"SEffe::FUN_801181f0","Unknown, something to do with LMB animation"
"SEffe::scriptAllocateBuggedEffect","A bugged effect, do not use"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"SEffe::scriptWaitForXaToLoad","Waits for the currently-loading XA audio to load (no-op in SC)"
"SEffe::scriptGetXaLoadingStage","Gets the current XA loading stage (probably doesn't work in SC)"
"SEffe::scriptPlayXaAudio","Plays an XA sound"
"Battle::scriptLoadCutsceneDeff","Allocates a DEFF and effect manager child for a cutscene"
"Battle::scriptLoadSpellOrItemDeff","Allocates a DEFF and effect manager child for a spell or item"
"Battle::scriptLoadEnemyOrBossDeff","Allocates a DEFF and effect manager child for an enemy or boss"
"SEffe::scriptConvertRotationYxzToXyz","Converts a YXZ rotation to a XYZ rotation"
"SEffe::scriptResetDeffManager","Resets the DEFF manager"
"SEffe::FUN_8011287c","Unknown"
"Battle::FUN_800e9798","Unknown, sets shadow type"
"Battle::scriptSetBttlShadowSize","Sets the shadow size for a battle object"
"Battle::scriptSetBttlShadowOffset","Sets the shadow offset for a battle object"
"SEffe::scriptAllocateShadowEffect","Allocates a shadow effect"
"SEffe::scriptUpdateDeffManagerFlags","Updates the DEFF manager flags"
"SEffe::scriptLoadDeffStageEffects","Loads DEFF effects for the current battle stage"
"SEffe::scriptGetEffectTextureMetrics","Gets the texture metrics for various effect types"
"SEffe::FUN_801154f4","Clears an effect manager's flag 0x8 and then sets or unsets flag 0x8 (bit 3)"
"SEffe::scriptConsolidateEffectMemory","Unused in SC"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"SMap::scriptLoadSobjModelAndAnimation","Load a model/animation into a submap object"
"SMap::scriptLoadSobjAnimation","Load a new animation into a submap object"
"SMap::scriptGetSobjAnimation","Get a submap object's animation"
"SMap::scriptToggleAnimationDisabled","Set whether or not a sobj's animation is disabled"
"SMap::scriptIsAnimationFinished","Get us_12a from a submap object"
"SMap::scriptFacePoint","Rotates a submap object to face a point in 3D space"
"SMap::scriptSetSobjHidden","Set whether or not a submap object is hidden"
"SMap::scriptSobjMoveToPosition","Moves a sobj to a position over a number of frames"
"SMap::scriptSobjMoveAlongArc","Something to do with forced movement"
"SMap::scriptCheckSobjCollision","Updates the collision primitive for the given submap object and returns the primitive index"
"SMap::FUN_800e0148","Returns submap object s_172"
"SMap::FUN_800e01bc","Something related to texture animation"
"SMap::scriptEnableTextureAnimation","Enable a submap object animated texture"
"SMap::FUN_800e0204","Something related to texture animation"
"SMap::scriptDisableTextureAnimation","Disable a submap object animated texture"
"SMap::FUN_800e02c0","Get a submap object's us_170"
"SMap::scriptAttachCameraToSobj","Attaches the camera to a submap object"
"SMap::FUN_800deba0","Something to do with forced movement"
"SMap::scriptGetSobjNobj","Get the number of model parts in a submap object model"
"SMap::scriptHideModelPart","Hide a model part in a submap object model"
"SMap::scriptShowModelPart","Show a model part in a submap object model"
"SMap::scriptFaceCamera","Make a submap object face the camera"
"SMap::scriptSetSobjFlag","Set a submap object's flag"
"SMap::scriptGetSobjFlag","Get a submap object's flag"
"SMap::loadInterpolatedSobjAnimation","Loads an interpolated animation into a submap object"
"SMap::loadUninterpolatedSobjAnimation","Loads an uninterpolated animation into a submap object"
"SMap::FUN_800e0184","Sets submap object s_172"
"SMap::scriptSetChapterTitleCardReadyToRender","Sets origin XY of chapter title card and flags it to move to the rendering state"
"SMap::scriptGetChapterTitleCardAnimationComplete","Gets completion status of chapter title card animation"
"SMap::scriptLoadChapterTitleCard","Starts loading a chapter title card"
"SMap::scriptIsChapterTitleCardLoaded","Checks if the chapter title card has finished loading"
"SMap::scriptSetTitleCardAnimationPauseTicks","Set the number of ticks to hold on the title card before fading it out"
"Scus94491BpeSegment::scriptStartSequenceAndChangeVolumeOverTime","Start the current sequence and fade it in"
"Scus94491BpeSegment::scriptSssqFadeOut","Fade out all sequenced audio"
"Scus94491BpeSegment::scriptChangeSequenceVolumeOverTime","Adjust the current sequence's volume over time"
"Scus94491BpeSegment::scriptGetSequenceFlags","Get the current sequence's flags"
"Scus94491BpeSegment::scriptGetSssqTempoScale","Gets the current sequence's tempo scale"
"Scus94491BpeSegment::scriptSetSssqTempoScale","Sets the current sequence's tempo scale"
"Scus94491BpeSegment::scriptGetLoadedSoundFiles","Gets the currently-loaded sound files"
"Scus94491BpeSegment::scriptGetSequenceVolume","Gets the sequence volume"
"Battle::scriptPlayCombatantSound","Plays a combatant sound"
"Battle::scriptStopBentSound2","Stop a battle entity sound"
"Scus94491BpeSegment_8002::scriptStopAndUnloadSequences","Stops and unloads all music and sound sequences"
"Scus94491BpeSegment::scriptLoadCharacterAttackSounds","Loads a character's attack sounds"
"Scus94491BpeSegment_8002::scriptReplaceMonsterSounds","Replaces a monster's attack sounds (e.g. used when Melbu changes forms)"
"Scus94491BpeSegment::scriptLoadCutsceneSounds","Loads sounds for a cutscene"
"Scus94491BpeSegment::scriptLoadFinalBattleSounds","Loads sounds for the final battle"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Battle::FUN_800d3090","No-op"
"Battle::scriptAllocateFullScreenOverlay","Allocates a full-screen overlay effect"
"Battle::scriptRand","Generates a random number using the Mersenne Twister algorithm"
"Battle::scriptSetWeaponTrailSegmentCount","Sets a weapon trail effect's segment count"
"Battle::FUN_800d3090","No-op"
"Battle::FUN_800d3090","No-op"
"Battle::FUN_800d3090","No-op"
"Battle::FUN_800d3090","No-op"
"Battle::scriptRenderColouredQuad","Renders a full-screen, coloured quad"
"Battle::FUN_800cf0b4","Adds an unknown, unused attachment to an effect. Seems to oscillate an effect's position back and forth by a certain amount."
"SEffe::scriptAllocateParticleEffect","Allocates a particle effect manager"
"SEffe::scriptSetParticleAcceleration","Sets a particle's acceleration"
"Battle::FUN_800d3090","No-op"
"Battle::scriptAllocateProjectileHitEffect","Allocates a projectile hit effect manager"
"Battle::FUN_800d09b8","No-op"
"Battle::scriptAllocateAdditionSparksEffect","Allocates an addition sparks effect manager"
"SEffe::FUN_80102608","No-op (pause)"
"SEffe::scriptAllocateAdditionOverlaysEffect","Allocates an addition overlays effect manager"
"SEffe::scriptGetHitCompletionState","Gets the success or failure of the addition hit"
"SEffe::FUN_80108de8","No-op"
"Battle::scriptAllocateAdditionStarburstEffect","Allocates an addition starburst effect manager"
"Battle::FUN_800d1cac","Allocates an empty effect manager"
"Battle::FUN_800d1cf4","Allocates an empty effect manager"
"SEffe::scriptAlterAdditionContinuationState","Pauses ticker/renderer of addition overlays during counterattacks"
"SEffe::FUN_80108df0","No-op"
"Battle::scriptAllocateGuardEffect","Allocates a guard effect manager"
"Battle::scriptAllocateWeaponTrailEffect","Allocates a weapon trail effect manager"
"Battle::scriptAllocateRadialGradientEffect","Allocates a radial gradient effect manager"
"Battle::scriptAllocateAdditionScript","Allocates an addition name display script state"
"Battle::scriptGetBobjLocalWorldMatrixTranslation","Gets a battle object's local world matrix translation"
"Battle::scriptAllocateSpTextEffect","Allocates an addition SP text display effect manager"
"Battle::scriptAllocateAdditionNameEffect","Allocates an addition name effect manager"
"SMap::scriptSelfInitTmdDust","Self version of scriptInitTmdDust."
"SMap::scriptInitTmdDust","Initializes TMD dust particle attached sobj effect."
"SMap::scriptAllocateSmokePlumeEffectData","Allocates/initializes static struct containing smoke plume particle data."
"SMap::scriptInitFootprints","Initializes footprints attached sobj effect when param 0 is 1 or 2."
"SMap::scriptAddSavePoint","Adds a save point to the map"
"SMap::scriptInitOrthoDust","Initializes ortho quad dust attached sobj effect if mode is 1 or 3."
"SMap::FUN_800f2780","No-op"
"SMap::scriptReinitializeSmokePlumeForIntermittentBursts","Re-initializes some values for smoke particles."
"SMap::scriptInitSnowParticleData","Initializes fields for snow particle data."
"SMap::FUN_800f1eb8","Unknown"
"SMap::scriptAllocateTriangleIndicatorArray","Allocates triangle indicators from an array of struct data"
"SMap::FUN_800f1b64","Unknown, adds triangle indicators (possibly for doors)"
"SMap::FUN_800f26c8","Unknown"
"SMap::FUN_800f1d0c","Unknown, adds a triangle indicator (possibly for a door)"
"SMap::scriptAllocateSmokeCloudData","Allocates/initializes struct storing data for smoke cloud particle effect."
"SMap::scriptDeallocateSmokeCloudDataAndEffect","Deallocates/uninitializes the smoke cloud data and effect structs."
"SMap::scriptSetSmokeCloudEffectStateToDontTick","Sets smoke cloud effect to stop ticking."
"SMap::scriptSetFootprintsInstantiationInterval","Sets the frequency of footprint attached sobj effect particle instantiation."
"SMap::scriptInitLawPodTrail","Initializes the trail effect on the law pods in Zenebatos."
"SMap::scriptChangeFootprintsMode","Re-initializes footprint attached sobj effect. 0 = individual, 1 = skid"
"SMap::FUN_800f2554","Unknown"
"SMap::scriptDeallocateLawPodTrail","If param 0 is 1, deallocate the Zenebatos law pod trail effect."
"SMap::scriptAllocateUnusedSmokeEffectData","Allocates/initializes struct data for unused smoke effect."
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
